Description,Total_Quantity_Sold,Total_Orders,Total_Revenue,Avg_Daily_Demand,Reorder_Point
CREAM CLIMBING HYDRANGA ART FLOWER,145,7,205.35,4.833333333333333,33.83333333333333
CREAM CUPID HEARTS COAT HANGER,6682,724,21256.0,222.73333333333332,1559.1333333333332
CREAM CUSHION COVER WITH FLOWERS,103,14,355.85,3.433333333333333,24.03333333333333
CREAM DELPHINIUM ARTIFICIAL FLOWER,215,17,387.53000000000003,7.166666666666667,50.16666666666667
CREAM FELT EASTER EGG BASKET,2148,283,3436.2,71.6,501.19999999999993
CREAM HANGING HEART T-LIGHT HOLDER,57,7,155.35,1.9,13.299999999999999
CREAM HEART CARD HOLDER,15946,1129,47414.200000000004,531.5333333333333,3720.733333333333
CREAM KNITTED HEN,288,1,365.76,9.6,67.2
CREAM SLICE FLANNEL CHOCOLATE SPOT ,698,120,1982.3000000000002,23.266666666666666,162.86666666666667
CREAM SLICE FLANNEL PINK SPOT ,2157,228,5873.55,71.9,503.30000000000007
CREAM SWEETHEART DOUBLE SHELF,3,1,50.849999999999994,0.1,0.7000000000000001
CREAM SWEETHEART EGG HOLDER,1093,216,5177.95,36.43333333333333,255.0333333333333
CREAM SWEETHEART LETTER RACK,1538,239,6897.62,51.266666666666666,358.8666666666667
CREAM SWEETHEART MAGAZINE RACK,275,150,4455.25,9.166666666666666,64.16666666666666
CREAM SWEETHEART MINI CHEST,2948,809,35264.729999999996,98.26666666666667,687.8666666666667
CREAM SWEETHEART SHELF + HOOKS,922,173,6097.56,30.733333333333334,215.13333333333333
CREAM SWEETHEART TRAYS,582,232,6734.5,19.4,135.79999999999998
CREAM SWEETHEART WALL CABINET,472,154,7417.259999999999,15.733333333333333,110.13333333333333
CREAM WALL PLANTER HEART SHAPED,562,168,3169.41,18.733333333333334,131.13333333333333
CROCHET BEAR RED/BLUE  KEYRING,41,12,67.64999999999999,1.3666666666666667,9.566666666666666
CROCHET BEAR WITH BLUE STRIPES,98,24,249.89999999999998,3.2666666666666666,22.866666666666667
CROCHET DOG KEYRING,24,6,39.599999999999994,0.8,5.6000000000000005
CROCHET LILAC/RED BEAR KEYRING,12,4,19.799999999999997,0.4,2.8000000000000003
CROCHET POODLE KEYRING,21,3,34.64999999999999,0.7,4.8999999999999995
CROCHET ROSE DES CLOTHES HANGER,25,7,73.75,0.8333333333333334,5.833333333333334
CROCHET ROSE PURSE WITH SUEDE BACK,163,38,480.8500000000001,5.433333333333334,38.03333333333333
CROCHET WHITE RABBIT KEYRING ,64,9,100.8,2.1333333333333333,14.933333333333334
CROSS STITCH ALPHABET CUSHION COVER,216,70,1285.2,7.2,50.4
CRYSTAL CHANDELIER T-LIGHT HOLDER,3,1,18.75,0.1,0.7000000000000001
CRYSTAL CZECH CROSS PHONE CHARM,44,8,34.94,1.4666666666666666,10.266666666666666
CRYSTAL DIAMANTE EXPANDABLE RING,48,16,204.0,1.6,11.200000000000001
CRYSTAL DIAMANTE STAR BROOCH,21,11,103.95,0.7,4.8999999999999995
CRYSTAL DRAGONFLY PHONE CHARM,3,2,2.55,0.1,0.7000000000000001
CRYSTAL FROG PHONE CHARM,189,19,138.32999999999998,6.3,44.1
CRYSTAL HOOP EARRING FLORAL LEAF,36,13,106.20000000000002,1.2,8.4
CRYSTAL KEY+LOCK PHONE CHARM,99,12,84.14999999999999,3.3,23.099999999999998
CRYSTAL LARGE JEWELLED PHOTO FRAME,22,10,56.099999999999994,0.7333333333333333,5.133333333333333
CRYSTAL PAIR HEART HAIR SLIDES,35,15,131.25,1.1666666666666667,8.166666666666668
CRYSTAL SEA HORSE PHONE CHARM,276,21,191.76,9.2,64.39999999999999
CRYSTAL SMALL JEWELLED PHOTOFRAME,1,1,1.65,0.03333333333333333,0.23333333333333334
CRYSTAL STILETTO PHONE CHARM,297,17,252.45,9.9,69.3
CRYSTAL STUD EARRINGS ASSORTED COL ,1081,28,508.7,36.03333333333333,252.23333333333332
CRYSTAL STUD EARRINGS CLEAR DISPLAY,576,13,218.88,19.2,134.4
CUBIC MUG BLUE POLKA DOT,1249,7,1093.95,41.63333333333333,291.43333333333334
CUBIC MUG FLOCK BLUE ON BROWN,1240,24,1011.48,41.333333333333336,289.33333333333337
CUBIC MUG FLOCK PINK ON BROWN,125,22,70.35,4.166666666666667,29.166666666666668
CUBIC MUG PINK POLKA DOT,104,18,265.2,3.466666666666667,24.266666666666666
CUBIC MUG PINK POLKADOT,532,43,356.52,17.733333333333334,124.13333333333334
CUBIC MUG TEATIME CAKES,6,1,15.299999999999999,0.2,1.4000000000000001
CUPBOARD 3 DRAWER MA CAMPAGNE,177,107,2531.75,5.9,41.300000000000004
CUPCAKE LACE PAPER SET 6,3631,251,6722.629999999999,121.03333333333333,847.2333333333333
CUPID DESIGN SCENTED CANDLES,660,64,1015.0999999999999,22.0,154.0
CUPID SCENTED CANDLE IN GLASS,61,14,100.64999999999999,2.033333333333333,14.233333333333333
CURIO CABINET LINEN AND LACE ,36,18,290.1,1.2,8.4
CURIOUS  IMAGES NOTEBOOK SET,421,23,634.25,14.033333333333333,98.23333333333333
CURIOUS IMAGES GIFT WRAP SET,793,100,772.1,26.433333333333334,185.03333333333333
CURIOUS IMAGES SCRAP BOOK SET,343,28,543.45,11.433333333333334,80.03333333333333
CUSHION COVER PINK UNION FLAG,101,22,643.35,3.3666666666666667,23.566666666666666
CUSHION COVER PINK UNION JACK,163,58,903.89,5.433333333333334,38.03333333333333
CUT GLASS HEXAGON T-LIGHT HOLDER,1022,44,1849.0,34.06666666666667,238.4666666666667
CUT GLASS T-LIGHT HOLDER OCTAGON,1169,64,2118.21,38.96666666666667,272.76666666666665
CUTE BIRD CEATURE SCREEN,28,6,18.48,0.9333333333333333,6.533333333333333
CUTE CATS TAPE,1183,65,450.75000000000006,39.43333333333333,276.0333333333333
CUTE RABBIT CEATURE SCREEN ,15,6,10.89,0.5,3.5
DADDY MOUSE RED GINGHAM BOW TIE,1,1,5.45,0.03333333333333333,0.23333333333333334
DAIRY MAID  PUDDING BOWL,1296,44,1860.0,43.2,302.40000000000003
DAIRY MAID  SMALL  MILK JUG,215,55,451.50000000000006,7.166666666666667,50.16666666666667
DAIRY MAID BUTTER DISH,1193,34,1758.25,39.766666666666666,278.3666666666667
DAIRY MAID CERAMIC BUTTER DISH,105,39,437.25,3.5,24.5
DAIRY MAID CERAMIC TOASTRACK,56,16,165.20000000000002,1.8666666666666667,13.066666666666666
DAIRY MAID LARGE MILK JUG,851,295,4071.75,28.366666666666667,198.56666666666666
DAIRY MAID STRIPE MUG,2419,144,3176.05,80.63333333333334,564.4333333333334
DAIRY MAID SUGAR JAM BOWL,1372,76,1358.3999999999999,45.733333333333334,320.1333333333333
DAIRY MAID TOASTRACK,860,114,989.72,28.666666666666668,200.66666666666669
DAIRY MAID TRADITIONAL TEAPOT ,831,215,4937.650000000001,27.7,193.9
DAISIES  HONEYCOMB GARLAND ,1478,144,2337.8999999999996,49.266666666666666,344.8666666666667
DAISY ERASERS IN BAG,1014,13,219.34,33.8,236.59999999999997
DAISY FOLKART HEART DECORATION,389,51,486.25,12.966666666666667,90.76666666666667
DAISY GARDEN MARKER,1832,154,2453.7,61.06666666666667,427.4666666666667
DAISY HAIR BAND,67,10,110.54999999999998,2.2333333333333334,15.633333333333333
DAISY HAIR COMB,14,3,35.699999999999996,0.4666666666666667,3.2666666666666666
DAISY JOURNAL ,403,61,708.47,13.433333333333334,94.03333333333333
DAISY NOTEBOOK ,3509,53,749.8499999999999,116.96666666666667,818.7666666666667
DAISY RING,11,2,13.75,0.36666666666666664,2.5666666666666664
DAISY SKETCHBOOK ,245,59,606.86,8.166666666666666,57.166666666666664
DANISH ROSE BEDSIDE CABINET,31,18,1198.45,1.0333333333333334,7.233333333333334
DANISH ROSE DECORATIVE PLATE,1051,77,920.6400000000001,35.03333333333333,245.23333333333332
DANISH ROSE DELUXE COASTER,1306,67,722.5,43.53333333333333,304.73333333333335
DANISH ROSE FOLDING CHAIR,120,29,1210.0,4.0,28.0
DANISH ROSE PHOTO FRAME,1691,153,2122.61,56.36666666666667,394.56666666666666
DANISH ROSE ROUND SEWING BOX,907,94,1359.79,30.233333333333334,211.63333333333333
DANISH ROSE TRINKET TRAYS,317,49,828.15,10.566666666666666,73.96666666666667
DANISH ROSE UMBRELLA STAND,33,27,513.55,1.1,7.700000000000001
DARK BIRD HOUSE TREE DECORATION,1431,90,511.38999999999993,47.7,333.90000000000003
DARK CHOCOLATE SCENTCANDLE,291,11,219.75,9.7,67.89999999999999
DARK PINK FLOCK GLASS CANDLEHOLDER,547,10,231.99,18.233333333333334,127.63333333333334
DECORATION  BUTTERFLY  MAGIC GARDEN,1018,109,836.18,33.93333333333333,237.5333333333333
DECORATION  PINK CHICK MAGIC GARDEN,773,85,648.73,25.766666666666666,180.36666666666667
"DECORATION , HANGING METAL CHICKEN",601,30,586.25,20.033333333333335,140.23333333333335
"DECORATION , HANGING METAL RABBIT",813,47,851.25,27.1,189.70000000000002
"DECORATION , WOBBLY CHICKEN, METAL ",763,60,1061.55,25.433333333333334,178.03333333333333
"DECORATION , WOBBLY RABBIT , METAL ",1066,99,1561.4999999999998,35.53333333333333,248.73333333333332
"DECORATION HEN ON NEST, HANGING",1837,125,2718.45,61.233333333333334,428.6333333333333
DECORATION SITTING BUNNY,1335,41,257.61,44.5,311.5
DECORATION WHITE CHICK MAGIC GARDEN,1291,142,1080.71,43.03333333333333,301.23333333333335
DECORATION WOBBLY CHICKEN,521,29,256.11,17.366666666666667,121.56666666666666
DECORATION WOBBLY RABBIT METAL ,753,45,375.57,25.1,175.70000000000002
"DECORATION, HANGING HEART+MIRROR ",2608,168,1688.0000000000002,86.93333333333334,608.5333333333333
DECORATIVE CATS BATHROOM BOTTLE,1261,108,1159.01,42.03333333333333,294.23333333333335
DECORATIVE FLORE BATHROOM BOTTLE,511,79,598.91,17.033333333333335,119.23333333333335
DECORATIVE HANGING SHELVING UNIT,14,10,799.3000000000001,0.4666666666666667,3.2666666666666666
DECORATIVE NET CANOPY CREAM,68,20,541.6,2.2666666666666666,15.866666666666667
DECORATIVE NET CANOPY LEOPARD,73,8,248.75,2.433333333333333,17.03333333333333
DECORATIVE PLANT POT WITH FRIEZE,96,34,751.2,3.2,22.400000000000002
DECORATIVE ROSE BATHROOM BOTTLE,1264,106,1118.96,42.13333333333333,294.93333333333334
DECORATIVE VINTAGE COFFEE  BOX,44,16,208.20000000000002,1.4666666666666666,10.266666666666666
DECORATIVE WICKER HEART LARGE,1701,215,2794.6499999999996,56.7,396.90000000000003
DECORATIVE WICKER HEART MEDIUM,1751,195,2181.19,58.36666666666667,408.56666666666666
DECORATIVE WICKER HEART SMALL,1492,81,932.2800000000001,49.733333333333334,348.1333333333333
"DECOUPAGE,GREETING CARD,",1332,87,554.4,44.4,310.8
DECROTIVEVINTAGE COFFEE GRINDER BOX,10,4,49.5,0.3333333333333333,2.333333333333333
DEEP BLUE GLASS GEMS IN BAG,316,16,208.12,10.533333333333333,73.73333333333333
DELUXE SEWING KIT ,2045,440,11611.27,68.16666666666667,477.1666666666667
DENIM PATCH PENCIL CASE BUTTERFLY,247,26,483.33,8.233333333333333,57.633333333333326
DENIM PATCH PURSE PINK BUTTERFLY,332,88,547.8,11.066666666666666,77.46666666666667
DIAMANTE BOW BROOCH BLACK COLOUR,83,35,527.05,2.7666666666666666,19.366666666666667
DIAMANTE BOW BROOCH GREEN COLOUR,42,20,266.7,1.4,9.799999999999999
DIAMANTE BOW BROOCH RED COLOUR,57,24,361.95,1.9,13.299999999999999
DIAMANTE BOW BROOCH WHITE COLOUR,1,1,6.35,0.03333333333333333,0.23333333333333334
DIAMANTE HAIR GRIP PACK/2 BLACK DIA,15,4,24.749999999999996,0.5,3.5
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,18,3,29.699999999999996,0.6,4.2
DIAMANTE HAIR GRIP PACK/2 LT ROSE,21,5,34.65,0.7,4.8999999999999995
DIAMANTE HAIR GRIP PACK/2 MONTANA,24,7,39.599999999999994,0.8,5.6000000000000005
DIAMANTE HAIR GRIP PACK/2 PERIDOT,26,5,42.89999999999999,0.8666666666666667,6.066666666666666
DIAMANTE HAIR GRIP PACK/2 RUBY,21,7,34.65,0.7,4.8999999999999995
"DIAMANTE HEART SHAPED WALL MIRROR, ",783,127,5020.41,26.1,182.70000000000002
DIAMANTE NECKLACE,8,4,60.0,0.26666666666666666,1.8666666666666667
DIAMANTE NECKLACE BLACK ,3,2,22.5,0.1,0.7000000000000001
DIAMANTE NECKLACE GREEN,3,2,22.5,0.1,0.7000000000000001
DIAMANTE NECKLACE PURPLE,10,6,75.0,0.3333333333333333,2.333333333333333
DIAMANTE RING ASSORTED IN BOX.,1800,34,2660.88,60.0,420.0
DIAMOND LAS VEGAS NECKLACE 45CM,9,5,53.550000000000004,0.3,2.1
DINOSAUR BIRTHDAY CARD,1618,110,668.76,53.93333333333333,377.5333333333333
DINOSAUR HEIGHT CHART STICKER SET,546,102,1453.5000000000002,18.2,127.39999999999999
DINOSAUR KEYRINGS ASSORTED,14192,300,2940.0299999999997,473.06666666666666,3311.4666666666667
DINOSAUR LUNCH BOX WITH CUTLERY,2320,342,5493.929999999999,77.33333333333333,541.3333333333333
DINOSAUR LUNCHBOX WITH CUTLERY,544,99,1327.8,18.133333333333333,126.93333333333334
DINOSAUR PARTY BAG + STICKER SET,2196,246,3460.24,73.2,512.4
DINOSAURS  WRITING SET ,1615,369,2635.99,53.833333333333336,376.83333333333337
DINOSAURS WATER TRANSFER TATTOOS ,1782,147,1469.8999999999999,59.4,415.8
DISCO BALL CHRISTMAS DECORATION,20550,309,2292.04,685.0,4795.0
DISCO BALL ROTATOR BATTERY OPERATED,534,214,2265.5,17.8,124.60000000000001
DISTRESSED CANDLE STICK WHITE,13,3,77.35,0.43333333333333335,3.033333333333333
DO NOT TOUCH MY STUFF DOOR HANGER ,2734,212,1577.34,91.13333333333334,637.9333333333334
DOCTOR'S BAG SOFT TOY,525,179,4681.63,17.5,122.5
DOG AND BALL WALL ART,252,4,425.87999999999994,8.4,58.800000000000004
"DOG BOWL , CHASING BALL DESIGN",695,118,2537.13,23.166666666666668,162.16666666666669
DOG BOWL CHASING BALL DESIGN,1688,200,6515.62,56.266666666666666,393.8666666666667
DOG BOWL VINTAGE CREAM,444,137,1878.42,14.8,103.60000000000001
"DOG BOWL, ENAMEL , CREAM COLOUR",8,2,34.0,0.26666666666666666,1.8666666666666667
"DOG FOOD CONTAINER , VINTAGE",10,3,85.0,0.3333333333333333,2.333333333333333
DOG LICENCE WALL ART,408,29,2081.64,13.6,95.2
DOG TOY WITH PINK CROCHET SKIRT,441,177,1650.19,14.7,102.89999999999999
DOGGY RUBBER,648,62,136.07999999999998,21.6,151.20000000000002
DOILEY BISCUIT TIN,120,13,327.6,4.0,28.0
DOILEY STORAGE TIN,1082,112,2934.98,36.06666666666667,252.4666666666667
DOILY THANK YOU CARD,703,44,286.62,23.433333333333334,164.03333333333333
DOLLCRAFT BOY JEAN-PAUL ,82,12,373.9,2.7333333333333334,19.133333333333333
DOLLCRAFT GIRL AMELIE,36,8,178.2,1.2,8.4
DOLLCRAFT GIRL AMELIE KIT,66,8,294.7,2.2,15.400000000000002
DOLLCRAFT GIRL NICOLE,68,12,336.6,2.2666666666666666,15.866666666666667
DOLLY CABINET 2 DRAWERS ,33,19,412.5,1.1,7.700000000000001
DOLLY CABINET 3 DRAWERS ,51,30,762.4499999999999,1.7,11.9
DOLLY GIRL BABY GIFT SET,419,120,6534.049999999999,13.966666666666667,97.76666666666667
DOLLY GIRL CHILDRENS BOWL,1553,141,1854.8500000000001,51.766666666666666,362.3666666666667
DOLLY GIRL CHILDRENS CUP,1548,144,1880.14,51.6,361.2
DOLLY GIRL CHILDRENS EGG CUP,953,116,1192.46,31.766666666666666,222.36666666666667
DOLLY GIRL LUNCH BOX,17340,998,30921.64,578.0,4046.0
DOLLY GIRL MINI BACKPACK,713,144,2838.9500000000003,23.766666666666666,166.36666666666667
DOLLY GIRL MINI RUCKSACK,8,2,33.2,0.26666666666666666,1.8666666666666667
DOLLY GIRL WALL ART,318,11,1055.94,10.6,74.2
DOLLY HONEYCOMB GARLAND,814,56,975.9,27.133333333333333,189.93333333333334
DOLLY MIXTURE CHILDREN'S UMBRELLA,561,160,1817.63,18.7,130.9
DOLPHIN WINDMILL,62,11,131.44000000000003,2.066666666666667,14.466666666666669
DONKEY TAIL GAME ,54,4,189.54000000000002,1.8,12.6
DOOR HANGER  MUM + DADS ROOM,1008,132,1192.8,33.6,235.20000000000002
DOOR MAT 3 SMILEY CATS,1773,246,9861.69,59.1,413.7
DOOR MAT AIRMAIL ,427,114,2988.53,14.233333333333333,99.63333333333333
DOOR MAT BIRD ON THE WIRE,562,121,3337.8,18.733333333333334,131.13333333333333
DOOR MAT BLACK FLOCK ,1220,170,6922.9,40.666666666666664,284.66666666666663
DOOR MAT BLUE FLOCK,1,1,6.75,0.03333333333333333,0.23333333333333334
DOOR MAT CAMOUFLAGE,38,1,152.0,1.2666666666666666,8.866666666666667
DOOR MAT ENGLISH ROSE ,1445,291,9343.43,48.166666666666664,337.16666666666663
DOOR MAT FAIRY CAKE,1640,316,10347.72,54.666666666666664,382.66666666666663
DOOR MAT FANCY FONT HOME SWEET HOME,1117,193,7415.39,37.233333333333334,260.6333333333333
DOOR MAT FRIENDSHIP ,431,149,2934.31,14.366666666666667,100.56666666666666
DOOR MAT GREEN PAISLEY ,253,73,1409.11,8.433333333333334,59.03333333333333
DOOR MAT HEARTS,1654,281,9715.06,55.13333333333333,385.93333333333334
DOOR MAT KISS MY.......,13,8,95.15,0.43333333333333335,3.033333333333333
DOOR MAT MULTICOLOUR STRIPE,1037,192,6270.6900000000005,34.56666666666667,241.9666666666667
DOOR MAT NEIGHBOURHOOD WITCH ,79,35,565.89,2.6333333333333333,18.433333333333334
DOOR MAT NEW ENGLAND,1953,423,12520.95,65.1,455.69999999999993
DOOR MAT RED SPOT,2426,369,15093.48,80.86666666666666,566.0666666666666
DOOR MAT RESPECTABLE HOUSE,358,104,2479.86,11.933333333333334,83.53333333333333
DOOR MAT SPOTTY HOME SWEET HOME,1733,256,10121.69,57.766666666666666,404.3666666666667
DOOR MAT SWEET HOME,28,6,131.25,0.9333333333333333,6.533333333333333
DOOR MAT TOPIARY,1020,188,6407.06,34.0,238.0
DOOR MAT UNION FLAG,3733,637,24216.23,124.43333333333334,871.0333333333333
DOOR MAT UNION JACK GUNS AND ROSES,725,163,4547.29,24.166666666666668,169.16666666666669
DOOR MAT WELCOME PUPPIES,1414,229,7835.1,47.13333333333333,329.93333333333334
DOORKNOB CERAMIC IVORY,36,1,52.199999999999996,1.2,8.4
DOORKNOB CRACKED GLAZE BLUE,162,3,238.49999999999997,5.4,37.800000000000004
DOORKNOB CRACKED GLAZE GREEN,12,2,19.799999999999997,0.4,2.8000000000000003
DOORKNOB CRACKED GLAZE IVORY,174,5,258.29999999999995,5.8,40.6
DOORKNOB CRACKED GLAZE PINK,12,2,19.799999999999997,0.4,2.8000000000000003
DOORMAT 3 SMILEY CATS,2290,326,13552.78,76.33333333333333,534.3333333333333
DOORMAT AIRMAIL ,1943,320,11946.53,64.76666666666667,453.3666666666667
DOORMAT BIRD ON THE WIRE,223,16,1100.15,7.433333333333334,52.03333333333333
DOORMAT BLACK FLOCK ,2813,290,15618.36,93.76666666666667,656.3666666666667
DOORMAT CHRISTMAS VILLAGE,837,113,4966.929999999999,27.9,195.29999999999998
DOORMAT ENGLISH ROSE ,3158,464,20298.8,105.26666666666667,736.8666666666667
DOORMAT FAIRY CAKE,4760,420,29116.96,158.66666666666666,1110.6666666666665
DOORMAT FANCY FONT HOME SWEET HOME,4825,572,29691.95,160.83333333333334,1125.8333333333335
DOORMAT FRIENDSHIP ,795,58,4099.43,26.5,185.5
DOORMAT HEARTS,5788,857,35069.4,192.93333333333334,1350.5333333333333
DOORMAT HOME SWEET HOME BLUE ,2493,401,15329.57,83.1,581.6999999999999
DOORMAT I LOVE LONDON,831,148,5136.67,27.7,193.9
DOORMAT KEEP CALM AND COME IN,5338,648,35880.85,177.93333333333334,1245.5333333333333
DOORMAT KISS MY.......,22,2,106.58,0.7333333333333333,5.133333333333333
DOORMAT MERRY CHRISTMAS RED ,1004,211,7171.64,33.46666666666667,234.26666666666668
DOORMAT MULTICOLOUR STRIPE,2273,193,12541.22,75.76666666666667,530.3666666666667
DOORMAT NEIGHBOURHOOD WITCH ,1043,127,5709.31,34.766666666666666,243.36666666666667
DOORMAT NEW ENGLAND,5146,728,31461.34,171.53333333333333,1200.7333333333333
DOORMAT PEACE ON EARTH BLUE,856,85,4621.360000000001,28.533333333333335,199.73333333333335
DOORMAT RED RETROSPOT,4806,758,31864.2,160.2,1121.3999999999999
DOORMAT RED SPOT,1035,187,7050.21,34.5,241.5
DOORMAT RESPECTABLE HOUSE,1863,244,11282.69,62.1,434.7
DOORMAT SPOTTY HOME SWEET HOME,2671,636,19215.5,89.03333333333333,623.2333333333333
DOORMAT TOPIARY,2048,300,12345.7,68.26666666666667,477.8666666666667
DOORMAT UNION FLAG,6146,874,40053.72,204.86666666666667,1434.0666666666666
DOORMAT UNION JACK GUNS AND ROSES,2078,275,11722.24,69.26666666666667,484.8666666666667
DOORMAT VINTAGE LEAF,541,121,3766.57,18.033333333333335,126.23333333333335
DOORMAT VINTAGE LEAVES DESIGN ,426,88,2833.7000000000003,14.2,99.39999999999999
DOORMAT WELCOME PUPPIES,3345,368,19178.670000000002,111.5,780.5
DOORMAT WELCOME SUNRISE,718,182,4602.26,23.933333333333334,167.53333333333333
DOORMAT WELCOME TO OUR HOME,1935,460,13103.81,64.5,451.5
DOORSTOP FOOTBALL DESIGN,556,143,1675.96,18.533333333333335,129.73333333333335
DOORSTOP RACING CAR DESIGN,375,63,888.23,12.5,87.5
DOORSTOP RETROSPOT HEART,2695,577,10283.5,89.83333333333333,628.8333333333333
DOORSTOP RUSSIAN DOLL GINGHAM,38,22,142.5,1.2666666666666666,8.866666666666667
DOORSTOP RUSSIAN DOLL RETROSPOT,100,34,363.48,3.3333333333333335,23.333333333333336
DOT MATRIX CANVAS ART PICTURE,35,3,147.05,1.1666666666666667,8.166666666666668
DOTCOM POSTAGE,16,16,11906.36,0.5333333333333333,3.7333333333333334
DOTCOMGIFTSHOP TEA TOWEL,12,1,19.799999999999997,0.4,2.8000000000000003
DOTS IRONING BOARD COVER,12,11,23.4,0.4,2.8000000000000003
DOTTY PLACEMATS ,52,9,175.8,1.7333333333333334,12.133333333333333
DOUBLE CERAMIC PARLOUR HOOK,22,5,91.30000000000001,0.7333333333333333,5.133333333333333
DOUGHNUT LIP GLOSS ,9642,308,11615.7,321.4,2249.7999999999997
DOVE DECORATION PAINTED ZINC ,4442,150,2014.7600000000002,148.06666666666666,1036.4666666666667
DRAGONS BLOOD INCENSE,874,26,173.54,29.133333333333333,203.93333333333334
DRAWER KNOB ACRYLIC EDWARDIAN CLEAR,24,1,30.0,0.8,5.6000000000000005
DRAWER KNOB ACRYLIC EDWARDIAN GREEN,24,1,30.0,0.8,5.6000000000000005
DRAWER KNOB ACRYLIC EDWARDIAN PINK,24,1,30.0,0.8,5.6000000000000005
DRAWER KNOB CERAMIC BLACK,935,78,1314.95,31.166666666666668,218.16666666666669
DRAWER KNOB CERAMIC IVORY,2035,165,2863.39,67.83333333333333,474.8333333333333
DRAWER KNOB CERAMIC RED,679,59,943.75,22.633333333333333,158.43333333333334
DRAWER KNOB CRACKLE GLAZE BLUE,1079,111,1751.7899999999997,35.96666666666667,251.76666666666668
DRAWER KNOB CRACKLE GLAZE GREEN,1272,136,2060.3999999999996,42.4,296.8
DRAWER KNOB CRACKLE GLAZE IVORY,2076,177,3348.5999999999995,69.2,484.40000000000003
DRAWER KNOB CRACKLE GLAZE PINK,1216,136,1967.9999999999998,40.53333333333333,283.73333333333335
DRAWER KNOB VINTAGE GLASS BALL,317,46,669.61,10.566666666666666,73.96666666666667
DRAWER KNOB VINTAGE GLASS HEXAGON,287,27,596.96,9.566666666666666,66.96666666666667
DRAWER KNOB VINTAGE GLASS STAR,503,53,1016.97,16.766666666666666,117.36666666666666
DRAWERKNOB ACRYLIC EDWARDIAN PURPLE,24,1,30.0,0.8,5.6000000000000005
DROP DIAMANTE EARRINGS BLACK DIAMON,15,5,44.25,0.5,3.5
DROP DIAMANTE EARRINGS CRYSTAL,16,6,47.2,0.5333333333333333,3.7333333333333334
DROP DIAMANTE EARRINGS GREEN,8,3,23.6,0.26666666666666666,1.8666666666666667
DROP DIAMANTE EARRINGS PURPLE,31,10,91.45000000000002,1.0333333333333334,7.233333333333334
DROP EARRINGS W FLOWER & LEAF,3,3,7.6499999999999995,0.1,0.7000000000000001
DUCK SOCK PUPPET,4,2,11.8,0.13333333333333333,0.9333333333333333
DUSTY PINK CHRISTMAS TREE 30CM,10,4,12.5,0.3333333333333333,2.333333333333333
DUSTY PINK CHRISTMAS TREE 60CM,10,3,29.500000000000004,0.3333333333333333,2.333333333333333
Discount,196,5,397.89,6.533333333333333,45.733333333333334
EASTER BUNNIES ON A STICK,1536,66,783.96,51.2,358.40000000000003
EASTER BUNNY GARLAND OF FLOWERS,1302,81,546.84,43.4,303.8
EASTER BUNNY HANGING GARLAND,154,26,192.5,5.133333333333334,35.93333333333334
EASTER BUNNY WITH BASKET ON BACK,204,34,132.6,6.8,47.6
EASTER BUNNY WREATH,76,21,362.2,2.533333333333333,17.733333333333334
EASTER CRAFT 4 CHICKS ,2994,243,5430.3,99.8,698.6
EASTER CRAFT IVY WREATH WITH CHICK,1343,99,2342.85,44.766666666666666,313.3666666666667
EASTER DECORATION EGG BUNNY ,1457,105,1255.43,48.56666666666667,339.9666666666667
EASTER DECORATION HANGING BUNNY,2476,123,958.3000000000001,82.53333333333333,577.7333333333333
EASTER DECORATION NATURAL CHICK,1781,134,1129.65,59.36666666666667,415.56666666666666
EASTER DECORATION SITTING BUNNY,1010,110,817.9399999999999,33.666666666666664,235.66666666666666
EASTER TIN BUCKET,1405,143,3355.95,46.833333333333336,327.83333333333337
EASTER TIN BUNNY BOUQUET,1188,132,1895.3999999999999,39.6,277.2
EASTER TIN CHICKS IN GARDEN,292,38,481.79999999999995,9.733333333333333,68.13333333333333
EASTER TIN CHICKS PINK DAISY,580,88,956.9999999999999,19.333333333333332,135.33333333333331
EASTER TIN KEEPSAKE,1086,112,1727.1,36.2,253.40000000000003
EASTER TREE YELLOW BIRDS,423,98,2192.25,14.1,98.7
EAU DE NIL DINER WALL CLOCK,244,116,2033.2,8.133333333333333,56.93333333333333
EAU DE NIL LOVE BIRD CANDLE,397,38,429.97,13.233333333333333,92.63333333333333
EAU DE NILE HEART SHAPE PHOTO FRAME,525,65,837.4499999999999,17.5,122.5
EAU DE NILE JEWELLED PHOTOFRAME,510,48,1010.6999999999999,17.0,119.0
EAU DE NILE JEWELLED T-LIGHT HOLDER,161,20,136.85,5.366666666666666,37.56666666666666
ECONOMY HOLIDAY PURSE,871,22,340.65000000000003,29.033333333333335,203.23333333333335
ECONOMY LUGGAGE TAG,287,89,380.81,9.566666666666666,66.96666666666667
ECONOMY PASSPORT COVER ,199,29,417.90000000000003,6.633333333333334,46.43333333333334
EDWARDIAN 2 DRAWER WALL CABINET ,52,14,755.8,1.7333333333333334,12.133333333333333
EDWARDIAN DROP EARRINGS JET BLACK,8,4,30.0,0.26666666666666666,1.8666666666666667
EDWARDIAN HEART PHOTO FRAME,147,33,610.0500000000001,4.9,34.300000000000004
EDWARDIAN PARASOL BLACK,9351,788,45885.07,311.7,2181.9
EDWARDIAN PARASOL NATURAL,10948,863,54332.61,364.93333333333334,2554.5333333333333
